time (s)	time(hydraulic residence times)	pH probe (pH)	ANC_out	C_T	[H^+] concentration (M)	alpha 2	ANC_out closed	alpha 0	alpha 1	ANC_out open
58	0.069770239	7.578275204	0.001648607	0.001715999	2.64073E-08	0.001799669	0.001633704	0.049962272	0.948238059	0.000190864
59	0.070973175	7.568521977	0.001645423	0.001713936	2.70071E-08	0.001757779	0.001629811	0.051041122	0.947201099	0.000186608
60	0.07217611	8.741394997	0.001642242	0.001711875	1.81387E-09	0.026793597	0.001757246	0.003509466	0.969696937	0.000186608
61	0.073379045	8.129231453	0.001639066	0.001709817	7.42623E-09	0.006606401	0.001697652	0.014504476	0.978889122	0.000685336
62	0.07458198	7.781557083	0.001635893	0.001707762	1.65365E-08	0.00292541	0.001658958	0.031847292	0.965227298	0.000305505
63	0.075784915	7.708998203	0.001632724	0.001705709	1.95435E-08	0.002462149	0.001646541	0.037438461	0.960099389	0.000258255
64	0.07698785	7.628594399	0.001629559	0.001703658	2.35183E-08	0.002031401	0.001631315	0.044730819	0.95323778	0.000214415
65	0.078190786	7.640183926	0.001626398	0.00170161	2.2899E-08	0.002088686	0.001631384	0.043601887	0.954309427	0.000220241
66	0.079393721	7.582324982	0.00162324	0.001699564	2.61622E-08	0.001817341	0.001618845	0.049520671	0.948661988	0.000192659
67	0.080596656	7.60928154	0.001620087	0.001697521	2.45877E-08	0.001939271	0.001621965	0.046674054	0.951386675	0.000205049
68	0.081799591	7.539060116	0.001616937	0.00169548	2.89028E-08	0.001636813	0.001606279	0.054435073	0.943928115	0.000174323
69	0.083002526	7.592422962	0.001613791	0.001693442	2.5561E-08	0.001862132	0.001614938	0.048435582	0.949702286	0.00019721
70	0.084205461	7.52243042	0.001610648	0.001691406	3.0031E-08	0.001572078	0.001598899	0.056443422	0.9419845	0.00016775
71	0.085408396	7.579327107	0.00160751	0.001689373	2.63435E-08	0.001804243	0.001608563	0.049847212	0.948348544	0.000191328
72	0.086611332	7.503622055	0.001604375	0.001687342	3.13601E-08	0.001501797	0.00159095	0.0587986	0.939699603	0.000160615
73	0.087814267	7.558815956	0.001601244	0.001685313	2.76175E-08	0.001717016	0.001600675	0.052136563	0.946146421	0.000182468
74	0.089017202	7.494387627	0.001598117	0.001683287	3.20341E-08	0.001468392	0.001585061	0.059988318	0.938543291	0.000157224
75	0.090220137	7.523078919	0.001594993	0.001681263	2.99862E-08	0.001574556	0.001589452	0.056363817	0.942061627	0.000168002
76	0.091423072	7.455307961	0.001591874	0.001679242	3.50503E-08	0.00133466	0.001572119	0.065276189	0.933389151	0.00014365
77	0.092626007	7.492592335	0.001588758	0.001677223	3.21668E-08	0.00146198	0.001578948	0.060222211	0.938315809	0.000156573
78	0.093828943	7.486859798	0.001585645	0.001675207	3.25942E-08	0.001441683	0.001575751	0.060974771	0.937583546	0.000154513
79	0.095031878	7.507480621	0.001582537	0.001673193	3.10827E-08	0.001515967	0.001578459	0.058308052	0.940175981	0.000162054
80	0.096234813	7.463896751	0.001579432	0.001671181	3.4364E-08	0.001363024	0.00156663	0.06407814	0.934558836	0.000146529
81	0.097437748	7.472638607	0.001576331	0.001669172	3.36792E-08	0.001392477	0.001566803	0.062879764	0.935727758	0.000149518
82	0.098640683	7.469388962	0.001573234	0.001667166	3.39321E-08	0.001381459	0.00156416	0.063322784	0.935295757	0.0001484
83	0.099843618	7.459283829	0.00157014	0.001665161	3.47309E-08	0.00134772	0.001559891	0.064719031	0.933933249	0.000144975
84	0.101046554	7.432221413	0.00156705	0.001663159	3.6964E-08	0.001261157	0.001551397	0.068600331	0.930138512	0.000136189
85	0.102249489	7.413255692	0.001563964	0.00166116	3.8614E-08	0.001203646	0.001544694	0.071447563	0.927348791	0.000130352
86	0.103452424	7.434161663	0.001560882	0.001659163	3.67992E-08	0.001267184	0.001548154	0.068315041	0.930417775	0.000136801
87	0.104655359	7.421931744	0.001557803	0.001657168	3.78502E-08	0.001229641	0.001543212	0.070131797	0.928638561	0.00013299
88	0.105858294	7.414066792	0.001554728	0.001655176	3.85419E-08	0.001206054	0.00153934	0.071323598	0.927470348	0.000130596
89	0.107061229	7.403021812	0.001551657	0.001653186	3.95347E-08	0.001173648	0.001534609	0.073028808	0.925797544	0.000127306
90	0.108264165	7.429271698	0.001548589	0.001651199	3.72159E-08	0.001252045	0.001539505	0.069036162	0.929711792	0.000135264
91	0.1094671	7.41159296	0.001545525	0.001649213	3.87621E-08	0.001198724	0.001533157	0.071702308	0.927098968	0.000129852
92	0.110670035	7.431346417	0.001542465	0.001647231	3.70385E-08	0.001258447	0.001536324	0.068729349	0.930012204	0.000135914
93	0.11187297	7.373137474	0.001539408	0.00164525	4.23509E-08	0.001090018	0.001519184	0.077832122	0.92107786	0.000118815
94	0.113075905	7.411912918	0.001536355	0.001643272	3.87335E-08	0.001199669	0.001527718	0.071653223	0.927147108	0.000129948
95	0.11427884	7.388494015	0.001533306	0.001641297	4.08795E-08	0.001132268	0.001519722	0.075328823	0.923538909	0.000123105
