Day fraction since midnight on 	t*	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	
0.628229884	1.08E+00	0.211608484	12.77764702	106647.9688	
0.628287766	1.09E+00	0.228640392	12.68045425	106653.9453	
0.628345592	1.11E+00	0.241284341	12.60899544	106669.4063	
0.628403527	1.12E+00	0.252028883	12.5487299	106661.2969	
0.628461369	1.13E+00	0.272868156	12.43301678	106658.1953	
0.628519304	1.14E+00	0.299138486	12.28930378	106656.2031	
0.628577071	1.16E+00	0.332578301	12.10973454	106676.6797	
0.628635004	1.17E+00	0.382825077	11.84668636	106664.8359	
0.62869293	1.18E+00	0.405834794	11.72882938	106672.4844	
0.628750769	1.19E+00	0.413900346	11.68789101	106673.9219	
0.628808568	1.21E+00	0.425908119	11.62729836	106675.2188	
0.628866427	1.22E+00	0.434887797	11.58225918	106677.4531	
0.628924299	1.23E+00	0.46150282	11.45011997	106673.75	
0.628982169	1.24E+00	0.501303852	11.25617886	106676.6875	
0.629040081	1.26E+00	0.524654508	11.14437485	106707.6328	
0.629097915	1.27E+00	0.591893911	10.83021927	106680.9297	
0.629155844	1.28E+00	0.630895674	10.65305614	106689.3984	
0.629213692	1.29E+00	0.646999359	10.58094406	106690.9531	
0.629271589	1.31E+00	0.649446428	10.57003784	106683.1953	
0.629329407	1.32E+00	0.650709868	10.56441307	106685.5938	
0.629387303	1.33E+00	0.670447946	10.47699738	106712.5234	
0.629445116	1.34E+00	0.696988404	10.36082172	106709.3516	
0.629503052	1.36E+00	0.737476707	10.18652439	106715.7344	
0.629560961	1.37E+00	0.765108287	10.06954479	106701.125	
0.629618791	1.38E+00	0.794932544	9.945020676	106701.4922	
0.62967661	1.39E+00	0.811887145	9.875016213	106693.3828	
0.629734457	1.41E+00	0.851478756	9.713703156	106699.3203	
0.629792443	1.42E+00	0.878545702	9.605114937	106724.6328	
0.629850277	1.43E+00	0.893895745	9.544129372	106705.5938	
0.629908188	1.44E+00	0.925949693	9.418138504	106717.5078	
0.629965943	1.46E+00	0.945648074	9.341607094	106716.2422	
0.630023886	1.47E+00	0.969276846	9.250683785	106721.125	
0.630081744	1.48E+00	0.981849015	9.202690125	106737.9297	
0.630139643	1.49E+00	0.986794829	9.183882713	106729.3906	
0.63019751	1.51E+00	1.016262412	9.072655678	106728.5	
0.630255371	1.52E+00	1.053244948	8.935043335	106717.0313	
0.630313289	1.53E+00	1.075036764	8.854962349	106710.4219	
0.630371084	1.54E+00	1.106895685	8.73919487	106743.2188	
0.630428928	1.56E+00	1.114841342	8.710560799	106726.0703	
0.630486873	1.57E+00	1.12988174	8.656615257	106736.8359	
0.63054471	1.58E+00	1.154018521	8.570734978	106715.2813	
0.630602585	1.60E+00	1.218357444	8.345866203	106730.0938	
0.630660469	1.61E+00	1.274599195	8.153942108	106725.4141	
0.630718336	1.62E+00	1.297209978	8.077959061	106719.3672	
0.630776194	1.63E+00	1.326884985	7.979232788	106740.4922	
0.63083411	1.65E+00	1.351897001	7.896879673	106732.8359	
0.630891927	1.66E+00	1.356989622	7.880207062	106730.8047	
0.630949818	1.67E+00	1.38059032	7.80335474	106726.2891	
0.631007722	1.68E+00	1.410722137	7.706210136	106717.375	
0.631065559	1.70E+00	1.394685984	7.757775784	106741.4375	
0.631123419	1.71E+00	1.413651824	7.696822166	106721.875	
0.631181302	1.72E+00	1.422427893	7.668761253	106719.5938	
0.631239183	1.73E+00	1.447493076	7.589109898	106733.9063	
0.631297056	1.75E+00	1.474552274	7.503931999	106732.9453	
0.631354859	1.76E+00	1.492214561	7.44878006	106726.875	
0.631412793	1.77E+00	1.506242037	7.405225277	106755.0156	
0.631470677	1.78E+00	1.55679369	7.250047207	106731.0938	
0.631528512	1.80E+00	1.603681684	7.108544827	106729.1797	
0.631586389	1.81E+00	1.66470778	6.927752018	106730.3672	
0.631644279	1.82E+00	1.661469221	6.937252522	106746.2656	
0.631702121	1.83E+00	1.710037708	6.795847416	106742.8203	
0.631760082	1.85E+00	1.743234754	6.700499535	106734.8672	
0.631817848	1.86E+00	1.740707636	6.707721233	106723.0156	
0.631875675	1.87E+00	1.773637414	6.614083767	106742.5313	
0.631933575	1.88E+00	1.783448339	6.586379528	106739.3438	
0.631991499	1.90E+00	1.813409209	6.502315998	106737.9609	
0.632049378	1.91E+00	1.835228562	6.441602707	106745.1328	
0.632107205	1.92E+00	1.86559999	6.357790947	106738.3984	
0.6321651	1.93E+00	1.86977005	6.346345902	106748.9297	
0.632222982	1.95E+00	1.89615047	6.274290562	106746.8281	
0.63228087	1.96E+00	1.919421911	6.21121788	106731.9531	
0.632338771	1.97E+00	1.949880719	6.129349709	106733.1016	
0.632396594	1.98E+00	1.960364819	6.10134697	106745.2266	
0.632454424	2.00E+00	1.953951836	6.118465424	106721.125	
0.632512378	2.01E+00	1.959481835	6.103702068	106750.4453	
0.632570138	2.02E+00	1.976323009	6.058895588	106726.6406	
0.632628112	2.03E+00	1.98368597	6.039378643	106729.6953	
0.632685942	2.05E+00	2.002473354	5.989775181	106732.2109	
0.632743784	2.06E+00	2.02115798	5.940721989	106728.7891	
0.632801638	2.07E+00	2.051058769	5.862792969	106727.9219	
0.632859544	2.08E+00	2.06751132	5.820209026	106730.4297	
0.632917418	2.10E+00	2.074401379	5.802437306	106724.6484	
0.6329753	2.11E+00	2.094823837	5.749972343	106727.5469	
0.633033208	2.12E+00	2.103664637	5.727358341	106729.1797	
0.633091022	2.14E+00	2.133368492	5.651805401	106728.3984	
0.63314892	2.15E+00	2.165305615	5.571296215	106734.7969	
0.633206707	2.16E+00	2.156974077	5.592226982	106730.5938	
0.63326466	2.17E+00	2.191940785	5.504716873	106728.6563	
0.633322524	2.19E+00	2.182355404	5.528618813	106736.3672	
0.633380311	2.20E+00	2.19099164	5.507080555	106744.1406	
0.633438239	2.21E+00	2.222460032	5.429049015	106730.5859	
0.633496111	2.22E+00	2.252547026	5.355090618	106718.625	
0.633553964	2.24E+00	2.259815693	5.33731699	106717.4141	
0.633611823	2.25E+00	2.278818607	5.29102087	106729.1641	
0.633669676	2.26E+00	2.280370474	5.287250996	106717.8203	
0.633727628	2.27E+00	2.277839422	5.293400288	106707.25	
0.633785414	2.29E+00	2.295184135	5.251346111	106724.1641	
0.633843314	2.30E+00	2.310847521	5.213542461	106725.0781	
0.633901233	2.31E+00	2.3017869	5.235390186	106725.7969	
0.63395908	2.32E+00	2.272374392	5.306693077	106719.8047	
0.634017002	2.34E+00	2.247344017	5.367835522	106725.6484	
0.634074772	2.35E+00	2.287838459	5.269132137	106714.7891	
0.63413265	2.36E+00	2.389781952	5.02548933	106731.625	
0.6341905	2.37E+00	2.42246747	4.948792934	106715.3438	
0.634248381	2.39E+00	2.432605267	4.925140858	106722.2578	
0.634306298	2.40E+00	2.454005003	4.875424385	106713.8125	
0.634364159	2.41E+00	2.466737986	4.84597683	106707.3516	
0.634422036	2.42E+00	2.478610754	4.818608284	106710.6953	
0.634479902	2.44E+00	2.502586365	4.763601303	106710.75	
0.634537792	2.45E+00	2.524768114	4.713016987	106727.4609	
0.634595649	2.46E+00	2.526640892	4.708759785	106718.4844	
0.634653554	2.47E+00	2.529255152	4.702820301	106715.9531	
0.634711368	2.49E+00	2.564422846	4.62331295	106690.4688	
0.634769294	2.50E+00	2.57256937	4.604998112	106709.0391	
0.634827131	2.51E+00	2.572530508	4.605085373	106690.9688	
0.634885001	2.52E+00	2.649179697	4.434623241	106696.5313	
0.634942822	2.54E+00	2.706984282	4.308240891	106686.5938	
0.63500077	2.55E+00	2.734810591	4.248049736	106697.3672	
0.635058619	2.56E+00	2.75195694	4.211166382	106695.5625	
0.635116548	2.57E+00	2.7562778	4.201896668	106689.4219	
0.635174375	2.59E+00	2.75990963	4.194112301	106676.2891	
0.635232229	2.60E+00	2.773504973	4.165035248	106693.4609	
0.635290081	2.61E+00	2.786883593	4.136515617	106682.5547	
0.635347996	2.62E+00	2.779004335	4.153300762	106669.6172	
0.635405889	2.64E+00	2.785481691	4.139499664	106671.2656	
0.63546373	2.65E+00	2.693940878	4.336598873	106668.4609	
0.63552165	2.66E+00	2.648361921	4.436424255	106673.3438	
0.63557941	2.68E+00	2.752116203	4.21082449	106656.9766	
0.635637382	2.69E+00	2.770225525	4.172039986	106672.6484	
0.635695216	2.70E+00	2.77655673	4.158521652	106680.0469	
0.635753047	2.71E+00	2.777884245	4.155689716	106658.3984	
0.63581092	2.73E+00	2.780240774	4.150664806	106666.9297	
0.635868756	2.74E+00	2.782353163	4.146162987	106659.2969	
0.635926645	2.75E+00	2.781596899	4.14777422	106662.7969	
0.635984503	2.76E+00	2.786659002	4.136993885	106647.4063	
0.63604248	2.78E+00	2.787239552	4.1357584	106646.6797	
0.636100251	2.79E+00	2.784657717	4.141254425	106647.5	
0.636158114	2.80E+00	2.78766346	4.134856224	106642.9063	
0.636215999	2.81E+00	2.788204193	4.133705616	106640.5	
0.63627396	2.83E+00	2.783791542	4.143098831	106647.9766	
0.636331738	2.84E+00	2.778318882	4.154762745	106635.375	
0.636389609	2.85E+00	2.776313305	4.159040928	106649.1094	
0.636447527	2.86E+00	2.100694418	5.734949589	106645.5547	
0.636505375	2.88E+00	2.168275356	5.563847542	106623.7813	
0.63656328	2.89E+00	1.584359646	7.166578293	106629.0547	
0.636621087	2.90E+00	2.321275473	5.188465118	106634.75	
0.636678996	2.91E+00	1.521705985	7.357461453	106626.8203	
0.636736809	2.93E+00	2.20382905	5.47516346	106622.6406	
0.636794769	2.94E+00	1.785482526	6.580646038	106616.4375	
0.636852571	2.95E+00	1.256015897	8.216891289	106610.125	
0.63691052	2.96E+00	2.021648884	5.939436913	106622.1484	
0.636968351	2.98E+00	0.884720564	9.580530167	106621.875	
0.637026252	2.99E+00	1.423247695	7.666144371	106619.6094	
0.637084045	3.00E+00	1.146708965	8.596653938	106598.7422	
0.637141923	3.01E+00	1.163534403	8.537108421	106612.2734	
0.637199852	3.03E+00	1.086334109	8.813734055	106621.1953	
0.637257744	3.04E+00	0.937341571	9.373797417	106610.0859	
0.637315564	3.05E+00	1.007547021	9.105404854	106609.5703	
0.637373376	3.06E+00	1.249149442	8.240265846	106612.8438	
0.637431281	3.08E+00	1.480018497	7.486825943	106598.6094	
0.637489179	3.09E+00	1.937376142	6.162867069	106597.7969	
0.637547027	3.10E+00	1.995005965	6.009457111	106593.0859	
0.637604876	3.11E+00	2.195576429	5.495668411	106584.7891	
0.637662761	3.13E+00	1.798010588	6.545419693	106588.9688	
